web-scraper-order,web-scraper-start-url,companyName,industry,marketCap
"1700801043-4044","https://www.etmoney.com/stocks/list-of-stocks","Emkay Global Financial Services Ltd.
                                            EMKAY","Investment Banking & Brokerage Services","₹285.83 Crs"
"1700801043-4045","https://www.etmoney.com/stocks/list-of-stocks","Emmbi Industries Ltd.
                                            EMMBI","Packaging","₹187.52 Crs"
"1700801043-4046","https://www.etmoney.com/stocks/list-of-stocks","Endurance Technologies Ltd.
                                            ENDURANCE","Auto Ancillaries","₹22266.93 Crs"
"1700801043-4047","https://www.etmoney.com/stocks/list-of-stocks","Energy Development Company Ltd.
                                            ENERGYDEV","Power - Generation/distribution","₹90.25 Crs"
"1700801043-4048","https://www.etmoney.com/stocks/list-of-stocks","Engineers India Ltd.
                                            ENGINERSIN","Construction & Engineering","₹8262.02 Crs"
"1700801043-4049","https://www.etmoney.com/stocks/list-of-stocks","Entertainment Network (India) Ltd.
                                            ENIL","Broadcasting & Entertainment","₹900.97 Crs"
"1700801043-4050","https://www.etmoney.com/stocks/list-of-stocks","Epigral Ltd.
                                            EPIGRAL","Agro Products","₹3797.68 Crs"
"1700801043-4051","https://www.etmoney.com/stocks/list-of-stocks","Equippp Social Impact Technologies Ltd.
                                            EQUIPPP","Biotechnology & Medical Research","₹257.74 Crs"
"1700801043-4052","https://www.etmoney.com/stocks/list-of-stocks","Equitas Holdings Ltd.
                                            EQUITAS","Nbfc","₹4101.48 Crs"
"1700801043-4053","https://www.etmoney.com/stocks/list-of-stocks","Equitas Small Finance Bank Ltd.
                                            EQUITASBNK","Banks","₹10721.19 Crs"
"1700801043-4054","https://www.etmoney.com/stocks/list-of-stocks","Eris Lifesciences Ltd.
                                            ERIS","Pharmaceuticals","₹12867.8 Crs"
"1700801043-4055","https://www.etmoney.com/stocks/list-of-stocks","Eros International Media Ltd.
                                            EROSMEDIA","Broadcasting & Entertainment","₹211.01 Crs"
"1700801043-4056","https://www.etmoney.com/stocks/list-of-stocks","Esab India Ltd.
                                            ESABINDIA","Industrial Machinery, Equipment & Goods","₹9474.4 Crs"
"1700801043-4057","https://www.etmoney.com/stocks/list-of-stocks","Escorts Kubota Ltd.
                                            ESCORTS","Auto - 4w","₹35602.54 Crs"
"1700801043-4058","https://www.etmoney.com/stocks/list-of-stocks","Essar Shipping Ltd.
                                            ESSARSHPNG","Shipping","₹351.86 Crs"
"1700801043-4059","https://www.etmoney.com/stocks/list-of-stocks","Ester Industries Ltd.
                                            ESTER","Commodity Chemicals","₹683.83 Crs"
"1700801043-4060","https://www.etmoney.com/stocks/list-of-stocks","Ethos Ltd.
                                            ETHOSLTD","Consumer Electronics & Appliances","₹4947.5 Crs"
"1700801043-4061","https://www.etmoney.com/stocks/list-of-stocks","Euro India Fresh Foods Ltd.
                                            EIFFL","Food Products","₹344.72 Crs"
"1700801043-4062","https://www.etmoney.com/stocks/list-of-stocks","Eurotex Industries & Exports Ltd.
                                            EUROTEXIND","Textiles","₹8.75 Crs"
"1700801043-4063","https://www.etmoney.com/stocks/list-of-stocks","Eveready Industries India Ltd.
                                            EVEREADY","Batteries","₹2493.17 Crs"
"1700801043-4064","https://www.etmoney.com/stocks/list-of-stocks","Everest Industries Ltd.
                                            EVERESTIND","Cement","₹1895.79 Crs"
"1700801043-4065","https://www.etmoney.com/stocks/list-of-stocks","Everest Kanto Cylinder Ltd.
                                            EKC","Packaging","₹1582.13 Crs"
